search_string,unique_name,approximate_match,ott_id,is_synonym,flags,number_matches,ottids
Abutilon_theophrasti,Abutilon theophrasti,FALSE,854500,FALSE,,1,854500
Agoseris_heterophylla,Agoseris heterophylla,FALSE,106727,FALSE,,1,106727
Agrostis_capillaris,Agrostis capillaris,FALSE,550221,FALSE,,1,550221
Amaranthus_retrorelexus,Amaranthus retroflexus,TRUE,892638,FALSE,,1,892638
Ambrosia_artemisiifolia,Ambrosia artemisiifolia,FALSE,465438,FALSE,,1,465438
Andropogon_virginicus,Andropogon virginicus,FALSE,3955469,FALSE,,1,3955469
Arabidopsis_thaliana,Arabidopsis thaliana,FALSE,309263,FALSE,,1,309263
Artemisia_frigida,Artemisia frigida,FALSE,338841,FALSE,,1,338841
Aster_pilosus,Symphyotrichum pilosum,FALSE,733569,TRUE,,1,733569
Astrebla_squarrosa,Astrebla squarrosa,FALSE,897807,FALSE,,1,897807
Austrodanthonia_eriantha,Rytidosperma erianthum,FALSE,212108,TRUE,SIBLING_HIGHER,1,212108
Avicennia_germinans,Avicennia germinans,FALSE,582599,FALSE,,1,582599
Betula_alleghaniensis,Betula alleghaniensis,FALSE,452595,FALSE,,1,452595
Betula_papyrifera,Betula papyrifera,FALSE,267725,FALSE,,1,267725
Bothriochloa_decipiens,Bothriochloa decipiens,FALSE,3955239,FALSE,,1,3955239
Bouteloua_gracilis,Bouteloua gracilis,FALSE,527781,FALSE,,1,527781
Cecropia_obtusifolia,Cecropia obtusifolia,FALSE,842755,FALSE,,1,842755
Centaurea_solstitialis,Centaurea solstitialis,FALSE,852752,FALSE,,1,852752
Clitoria_ternatea,Clitoria ternatea,FALSE,404244,FALSE,,1,404244
Fagus_sylvatica,Fagus sylvatica,FALSE,774712,FALSE,,1,774712
Festuca_arundinacea,Festuca arundinacea,FALSE,105576,FALSE,SIBLING_HIGHER,1,105576
Festuca_rubra,Festuca rubra,FALSE,202297,FALSE,SIBLING_HIGHER,1,202297
Fraxinus_excelsior,Fraxinus excelsior,FALSE,671802,FALSE,,1,671802
Glycine_max,Glycine max,FALSE,681762,FALSE,,1,681762
Hesperostipa_comata,Hesperostipa comata,FALSE,751368,FALSE,,1,751368
Lamium_galeobdolon,Lamium galeobdolon,FALSE,907333,FALSE,,1,907333
Lasthenia_glabrata,Lasthenia glabrata,FALSE,438169,FALSE,,1,438169
Layia_platyglossa,Layia platyglossa,FALSE,302027,FALSE,,1,302027
Linaria_dalmatica,Linaria genistifolia subsp. dalmatica,FALSE,5522044,TRUE,INFRASPECIFIC,1,5522044
Linum_usitatissimum,Linum usitatissimum,FALSE,1000262,FALSE,,1,1000262
Lolium_perenne,Lolium perenne,FALSE,135774,FALSE,,1,135774
Micropus_californicus,Micropus californicus,FALSE,49142,FALSE,,1,49142
Myriocarpa_longipes,Myriocarpa longipes,FALSE,905290,FALSE,,1,905290
Parthenium_hysterophorus,Parthenium hysterophorus,FALSE,875356,FALSE,,1,875356
Pascopyrum_smithii,Pascopyrum smithii,FALSE,384480,FALSE,,1,384480
Picea_abies,Picea abies,FALSE,517943,FALSE,,1,517943
Piper_auritum,Piper auritum,FALSE,167780,FALSE,,1,167780
Plantago_erecta,Plantago erecta,FALSE,236722,FALSE,,1,236722
Senna_multijuga,Senna multijuga,FALSE,68519,FALSE,,1,68519
Setaria_faberi,Setaria faberi,FALSE,388387,FALSE,,1,388387
Setaria_incrassata,Setaria incrassata,FALSE,406891,FALSE,,1,406891
Spartina_alterniflora,Sporobolus alterniflorus,FALSE,600996,TRUE,,1,600996
Sphagnum_magellanicum,Sphagnum magellanicum,FALSE,124574,FALSE,,1,124574
Stellaria_holostea,Stellaria holostea,FALSE,292275,FALSE,,1,292275
Trichospermum_mexicanum,Trichospermum mexicanum,FALSE,934214,FALSE,,1,934214
Trifolium_pratense,Trifolium pratense,FALSE,839027,FALSE,,1,839027
Trifolium_repens,Trifolium repens,FALSE,116218,FALSE,,2,116218
Vulpia_myuros,Festuca myuros,FALSE,1036814,TRUE,,1,1036814
